,file,age,gender,race,service_test,thirties_or_higher,is_male,is_white,is_black
0,train/1.jpg,50-59,Male,East Asian,True,1.0,1.0,0.0,0.0
1,train/2.jpg,30-39,Female,Indian,False,1.0,0.0,0.0,0.0
2,train/3.jpg,3-9,Female,Black,False,0.0,0.0,0.0,1.0
3,train/4.jpg,20-29,Female,Indian,True,0.0,0.0,0.0,0.0
4,train/5.jpg,20-29,Female,Indian,True,0.0,0.0,0.0,0.0
5,train/6.jpg,20-29,Male,White,True,0.0,1.0,1.0,0.0
6,train/7.jpg,40-49,Male,Middle Eastern,False,1.0,1.0,0.0,0.0
7,train/8.jpg,30-39,Female,Indian,True,1.0,0.0,0.0,0.0
8,train/9.jpg,10-19,Male,White,True,0.0,1.0,1.0,0.0
9,train/10.jpg,30-39,Male,Middle Eastern,False,1.0,1.0,0.0,0.0
10,train/11.jpg,50-59,Male,East Asian,True,1.0,1.0,0.0,0.0
11,train/12.jpg,20-29,Male,East Asian,False,0.0,1.0,0.0,0.0
12,train/13.jpg,20-29,Male,Latino_Hispanic,False,0.0,1.0,0.0,0.0
13,train/14.jpg,10-19,Male,Indian,True,0.0,1.0,0.0,0.0
14,train/15.jpg,60-69,Female,Indian,True,1.0,0.0,0.0,0.0
15,train/16.jpg,30-39,Female,White,False,1.0,0.0,1.0,0.0
16,train/17.jpg,20-29,Female,Southeast Asian,False,0.0,0.0,0.0,0.0
17,train/18.jpg,40-49,Male,Southeast Asian,False,1.0,1.0,0.0,0.0
18,train/19.jpg,0-2,Female,Black,False,0.0,0.0,0.0,1.0
19,train/20.jpg,50-59,Male,Southeast Asian,True,1.0,1.0,0.0,0.0
20,train/21.jpg,20-29,Female,Indian,True,0.0,0.0,0.0,0.0
21,train/22.jpg,30-39,Female,Middle Eastern,True,1.0,0.0,0.0,0.0
22,train/23.jpg,20-29,Female,Black,True,0.0,0.0,0.0,1.0
23,train/24.jpg,30-39,Female,White,False,1.0,0.0,1.0,0.0
24,train/25.jpg,20-29,Female,White,False,0.0,0.0,1.0,0.0
25,train/26.jpg,30-39,Female,Black,True,1.0,0.0,0.0,1.0
26,train/27.jpg,50-59,Female,White,False,1.0,0.0,1.0,0.0
27,train/28.jpg,10-19,Female,White,False,0.0,0.0,1.0,0.0
28,train/29.jpg,20-29,Male,Indian,True,0.0,1.0,0.0,0.0
29,train/30.jpg,20-29,Female,Black,False,0.0,0.0,0.0,1.0
30,train/31.jpg,40-49,Female,Black,True,1.0,0.0,0.0,1.0
31,train/32.jpg,10-19,Female,East Asian,True,0.0,0.0,0.0,0.0
32,train/33.jpg,50-59,Male,White,False,1.0,1.0,1.0,0.0
33,train/34.jpg,40-49,Male,Middle Eastern,False,1.0,1.0,0.0,0.0
34,train/35.jpg,20-29,Male,East Asian,True,0.0,1.0,0.0,0.0
35,train/36.jpg,60-69,Female,Middle Eastern,True,1.0,0.0,0.0,0.0
36,train/37.jpg,20-29,Female,Latino_Hispanic,False,0.0,0.0,0.0,0.0
37,train/38.jpg,30-39,Male,Latino_Hispanic,True,1.0,1.0,0.0,0.0
38,train/39.jpg,50-59,Male,Middle Eastern,False,1.0,1.0,0.0,0.0
39,train/40.jpg,20-29,Female,Latino_Hispanic,False,0.0,0.0,0.0,0.0
40,train/41.jpg,20-29,Male,White,True,0.0,1.0,1.0,0.0
41,train/42.jpg,10-19,Female,Black,False,0.0,0.0,0.0,1.0
42,train/43.jpg,10-19,Female,Southeast Asian,True,0.0,0.0,0.0,0.0
43,train/44.jpg,40-49,Male,Latino_Hispanic,False,1.0,1.0,0.0,0.0
44,train/45.jpg,10-19,Male,Indian,True,0.0,1.0,0.0,0.0
45,train/46.jpg,10-19,Female,Indian,True,0.0,0.0,0.0,0.0
